id,state,nums
0,Alabama,0
1,Alabama,0
2,Alabama,0
3,Alabama,0
4,Alabama,0
5,Alabama,1
6,Alabama,0
7,Alabama,1
8,Alabama,1
9,Alabama,0
10,Alabama,0
11,Alabama,0
0,Alaska,0
1,Alaska,0
2,Alaska,0
3,Alaska,0
4,Alaska,0
5,Alaska,0
6,Alaska,0
7,Alaska,1
8,Alaska,0
9,Alaska,1
10,Alaska,1
11,Alaska,0
12,Alaska,0
13,Alaska,1
0,Arizona,0
1,Arizona,0
2,Arizona,0
3,Arizona,0
4,Arizona,0
5,Arizona,0
6,Arizona,0
7,Arizona,1
8,Arizona,1
9,Arizona,0
10,Arizona,1
11,Arizona,0
12,Arizona,0
0,Arkansas,0
1,Arkansas,0
2,Arkansas,0
3,Arkansas,0
4,Arkansas,0
5,Arkansas,0
6,Arkansas,0
7,Arkansas,1
8,Arkansas,1
9,Arkansas,1
10,Arkansas,1
11,Arkansas,1
12,Arkansas,0
13,Arkansas,1
0,California,0
1,California,1
2,California,0
3,California,1
4,California,1
5,California,1
6,California,0
7,California,1
8,California,1
9,California,1
10,California,1
11,California,0
12,California,1
13,California,1
14,California,1
15,California,1
16,California,1
0,Colorado,0
1,Colorado,0
2,Colorado,0
3,Colorado,1
4,Colorado,0
5,Colorado,1
6,Colorado,0
7,Colorado,1
8,Colorado,0
9,Colorado,0
10,Colorado,1
11,Colorado,1
12,Colorado,0
13,Colorado,1
14,Colorado,1
0,Connecticut,1
1,Connecticut,0
2,Connecticut,1
3,Connecticut,1
4,Connecticut,1
5,Connecticut,1
6,Connecticut,1
7,Connecticut,1
8,Connecticut,0
9,Connecticut,1
10,Connecticut,1
11,Connecticut,0
12,Connecticut,0
13,Connecticut,1
14,Connecticut,1
0,Delaware,0
1,Delaware,0
2,Delaware,1
3,Delaware,1
4,Delaware,0
5,Delaware,1
6,Delaware,0
7,Delaware,0
8,Delaware,1
9,Delaware,0
10,Delaware,1
11,Delaware,1
0,Florida,0
1,Florida,1
2,Florida,0
3,Florida,0
4,Florida,0
5,Florida,0
6,Florida,1
7,Florida,1
8,Florida,0
9,Florida,1
10,Florida,1
11,Florida,1
12,Florida,0
13,Florida,0
14,Florida,1
0,Georgia,0
1,Georgia,0
