"state","policy_score","total_mass_shootings","policy_level"
"Illinois",64.70588235294117647100,54,"Average"
"California",76.47058823529411764700,52,"Restrictive"
"Florida",46.66666666666666666700,42,"Average"
"Texas",35.71428571428571428600,35,"Relaxed"
"Georgia",16.66666666666666666700,23,"Relaxed"
"Louisiana",30.76923076923076923100,22,"Relaxed"
"Pennsylvania",41.66666666666666666700,19,"Average"
"New York",78.57142857142857142900,19,"Restrictive"
"Tennessee",23.07692307692307692300,17,"Relaxed"
"Alabama",25.00000000000000000000,15,"Relaxed"
"Ohio",26.66666666666666666700,15,"Relaxed"
"Missouri",25.00000000000000000000,14,"Relaxed"
"Maryland",81.81818181818181818200,14,"Restrictive"
"Michigan",61.53846153846153846200,14,"Average"
"North Carolina",50.00000000000000000000,12,"Average"
"South Carolina",38.46153846153846153800,12,"Relaxed"
"Virginia",45.45454545454545454500,12,"Average"
"Minnesota",54.54545454545454545500,10,"Average"
"New Jersey",81.81818181818181818200,9,"Restrictive"
"Washington",50.00000000000000000000,9,"Average"
"Colorado",46.66666666666666666700,8,"Average"
"Mississippi",16.66666666666666666700,7,"Relaxed"
"Arizona",23.07692307692307692300,6,"Relaxed"
"Kansas",23.07692307692307692300,5,"Relaxed"
"Connecticut",73.33333333333333333300,5,"Restrictive"
"New Mexico",36.84210526315789473700,4,"Relaxed"
"Nevada",36.36363636363636363600,4,"Relaxed"
"Arkansas",42.85714285714285714300,4,"Average"
"Massachusetts",81.81818181818181818200,3,"Restrictive"
"Oregon",38.46153846153846153800,3,"Relaxed"
"Delaware",50.00000000000000000000,2,"Average"
"Oklahoma",21.42857142857142857100,2,"Relaxed"
"Kentucky",23.07692307692307692300,2,"Relaxed"
"Wisconsin",33.33333333333333333300,2,"Relaxed"
"Vermont",36.36363636363636363600,1,"Relaxed"
"Nebraska",42.85714285714285714300,1,"Average"
"South Dakota",16.66666666666666666700,1,"Relaxed"
"West Virginia",23.07692307692307692300,1,"Relaxed"
"Iowa",35.71428571428571428600,1,"Relaxed"
